,movie name,meter_score,audience_score
700,the young and prodigious t.s. spivet,71,50%
701,abcd (any body can dance),71,50%
702,pozitia copilului,71,50%
703,final: the rapture,71,50%
704,a touch of sin,94,74%
705,king's faith,94,74%
706,one chance,63,64%
707,girl on a bicycle,8,54%
708,di renjie: shen du long wang,8,54%
709,settai,,36%
710,knights of badassdom,67,37%
711,blue caprice,84,51%
712,tian tai ai qing,84,51%
713,the best offer,55,76%
714,water & power,55,76%
715,we are what we are,72,48%
716,dong-chang-saeng,72,48%
717,blackbird,,
718,le temps de l'aventure,,
719,the greed of men,,
720,seasons of gray,,89%
721,coherence,,89%
722,a nagy füzet,,89%
723,the art of the steal,45,39%
724,la jalousie,72,44%
725,how i live now,68,55%
726,siddharth,90,77%
727,bicycling with molière,76,54%
728,feuchtgebiete,90,65%
729,cheap thrills,88,69%
730,borgman,86,70%
731,max rose,39,56%
732,go for sisters,39,56%
733,c.o.g.,39,56%
734,ilo ilo,100,78%
735,line of duty,,41%
736,half of a yellow sun,50,37%
737,hateship loveship,51,36%
738,the retrieval,92,72%
739,grzeli nateli dgeebi,94,75%
740,fei chang xing yun,94,75%
741,at middleton,57,45%
742,the canyons,57,45%
743,viva la libertà,57,45%
744,young & beautiful,57,45%
745,"1,000 times good night",57,45%
746,a master builder,83,59%
747,flores raras,66,68%
748,tiny times 2.0,,28%
749,holla ii,,
750,blood ties,,
751,the beautiful risk,,
752,cbgb,10,42%
753,decoding annie parker,56,41%
754,concussion,73,48%
755,child of god,73,48%
756,yip man: jung gik yat jin,73,48%
757,la mafia uccide solo d'estate,73,48%
758,savannah,73,48%
759,touchy feely,37,22%
760,redemption,,83%
761,underdogs,,55%
762,filth,,55%
763,starred up,99,84%
764,big sur,99,84%
765,big bad wolves,77,69%
766,lucky them,76,59%
767,i give it a year,53,38%
768,table no. 21,53,38%
769,abus de faiblesse,53,38%
770,it felt like love,84,43%
771,a field in england,88,58%
772,the power of few,57,38%
773,the trouble with barry,,
774,her cry: la llorona investigation,,
775,jigoku de naze warui,,
776,pour une femme,,
777,beneath the harvest sky,62,67%
778,pardé,90,68%
779,killing season,11,29%
780,trey the movie,11,29%
781,the last days on mars,19,25%
782,tiny times 1.0,19,25%
783,jimmy p.,52,40%
784,r100,78,50%
785,grand piano,79,47%
786,may in the summer,60,46%
787,i used to be darker,81,43%
788,camille claudel 1915,80,47%
789,v/h/s/2,80,47%
790,the look of love,80,47%
791,bad milo,63,41%
792,whensday,,87%
793,tasting menu,,87%
794,torn,,
795,test,,
796,journey to the west,,
797,adult world,53,38%
798,eastern boys,53,38%
799,breathe in,55,41%
800,dealin' with idiots,55,41%
801,as i lay dying,55,41%
802,bank$tas,55,41%
803,il futuro,55,41%
804,this is martin bonner,93,69%
805,les salauds,66,38%
806,hross í oss,66,38%
807,vivir es fácil con los ojos cerrados,66,38%
808,los insólitos peces gato,66,38%
809,zhi wo men zhong jiang shi qu de qing chun,,60%
810,the pretty one,,60%
811,midget zombie takeover,,
812,a resurrection,,26%
813,hank and asha,63,76%
814,the selfish giant,63,76%
815,a single shot,51,31%
816,made in cleveland,,57%
817,gibraltar,,57%
818,witch graveyard,,57%
819,last passenger,85,61%
820,les beaux jours,85,61%
821,the sacrament,63,47%
822,imbabazi,,
823,cupcakes,,
824,low: movie - how to quit smoking,,
825,canopy,78,34%
826,run & jump,78,34%
827,charlie countryman,29,49%
828,nothing left to fear,8,16%
829,las horas muertas,8,16%
830,un beau dimanche,,37%
831,amour & turbulences,,37%
832,big words,100,79%
833,the strange color of your body's tears,100,79%
834,almost human,,89%
835,finding mr. right,,89%
836,so this is christmas,,0%
837,pionér,,0%
838,welcome to the punch,47,36%
839,the film critic,45,33%
840,"no god, no master",45,33%
841,200 cartas,45,33%
842,rangrezz,,44%
843,love & air sex,,44%
844,paradies: hoffnung,,44%
845,medeas,78,78%
846,life of a king,78,78%
847,a picture of you,,
848,marius,100,92%
849,one small hitch,17,58%
850,2 automnes 3 hivers,17,58%
851,the haunted swing,,
852,hell baby,,
853,pawn shop chronicles,,
854,the adventurer: the curse of the midas box,,
855,tore tanzt,73,64%
856,hôtel normandy,73,64%
857,all is bright,73,64%
858,mumbai mirror,,
859,anna,,64%
860,contracted,53,29%
861,thunder and the house of magic,72,53%
862,silver circle,0,97%
863,gerontophilia,46,40%
864,the french minister,62,54%
865,raze,62,54%
866,life's a breeze,62,54%
867,axe giant: the wrath of paul bunyan,62,54%
868,the girl on the train,62,54%
869,plush,29,31%
870,salvation army,73,41%
871,tom yum goong 2,73,41%
872,the happy house,60,30%
873,last flight of the champion,,
874,inspectres,,
875,pawn,,
876,missionary,100,43%
877,the wait,100,43%
878,the right kind of wrong,12,37%
879,"max anderson, private eye",12,37%
880,jake squared,14,39%
881,the package,14,39%
882,ragnarok,14,39%
883,khumba,44,43%
884,the strategist anthology,44,43%
885,rhymes for young ghouls,80,76%
886,christmas ride,,
887,syrup,,
888,demi-soeur,,
889,rise of the undead,,
890,i spit on your grave 2,0,29%
891,hammer of the gods,0,29%
892,a perfect man,20,24%
893,american sniper,72,84%
894,the hunger games: mockingjay - part 1,72,84%
895,guardians of the galaxy,91,92%
896,captain america: the winter soldier,91,92%
897,the lego movie,96,87%
898,the hobbit: the battle of the five armies,96,87%
899,transformers: age of extinction,96,87%
900,maleficent,96,87%
901,x-men: days of future past,96,87%
902,big hero 6,89,91%
903,dawn of the planet of the apes,90,88%
904,the amazing spider-man 2,90,88%
905,godzilla,16,28%
906,22 jump street,84,77%
907,teenage mutant ninja turtles,34,60%
908,interstellar,71,85%
909,how to train your dragon 2,91,89%
910,gone girl,87,87%
911,divergent,41,69%
912,neighbors,41,69%
913,ride along,41,69%
914,rio 2,46,58%
915,kingsman: the secret service,46,58%
916,into the woods,46,58%
917,lucy,,0%
918,the fault in our stars,80,85%
919,unbroken,80,85%
920,night at the museum: secret of the tomb,80,85%
921,mr. peabody & sherman,80,85%
922,300: rise of an empire,80,85%
923,the maze runner,65,68%
924,the equalizer,60,76%
925,noah,60,76%
926,edge of tomorrow,60,76%
927,non-stop,60,76%
928,heaven is for real,49,66%
929,the imitation game,90,91%
930,taken 3,12,44%
931,dumb and dumber to,29,35%
932,annie,29,35%
933,fury,,
934,tammy,24,36%
935,annabelle,29,36%
936,the other woman,29,36%
937,penguins of madagascar,72,63%
938,let's be cops,72,63%
939,the monuments men,31,44%
940,paddington,31,44%
941,hercules,83,75%
942,the purge: anarchy,83,75%
943,"alexander and the terrible, horrible, no good, very bad day",83,75%
944,think like a man too,23,59%
