,Name,Genre,Rating,Votes,BoxOffice,Year
317,Aftershock,"Action, Adventure, Horror",4.8,10126,"40,179",2012
318,Paan Singh Tomar,"Action, Biography, Crime",8.2,28438,"39,567",2012
319,Post Tenebras Lux,Drama,6.6,4284,"38,911",2012
320,Soldiers of Fortune,"Action, Thriller",4.3,6679,"38,842",2012
321,Die Wand,"Drama, Fantasy, Mystery",6.8,5400,"38,674",2012
322,It's a Disaster,"Comedy, Drama",6.4,9431,"38,100",2012
323,Sightseers,"Adventure, Comedy, Crime",6.5,24193,"35,722",2012
324,Tai Chi Hero,"Action, Adventure",6.2,3029,"35,067",2012
325,Neighboring Sounds,"Drama, Thriller",7.1,5405,"32,240",2012
326,The Bay,"Horror, Sci-Fi, Thriller",5.6,22912,"30,474",2012
327,Paulette,"Comedy, Crime",6.6,6115,"29,494",2012
328,The We and the I,Drama,6.1,1745,"28,254",2012
329,Least Among Saints,"Crime, Drama",6.5,536,"28,026",2012
330,The Sweeney,"Action, Crime, Drama",6.1,17876,"26,345",2012
331,Tiger Eyes,Drama,6.4,1772,"25,163",2012
332,Nobody Walks,Drama,5.3,4531,"24,995",2012
333,The Citizen,Drama,7,3059,"24,296",2012
334,Paradies: Liebe,Drama,7.1,7434,"23,808",2012
335,Struck by Lightning,"Comedy, Drama",6.3,13902,"22,930",2012
336,The Black Dove,Drama,5.4,29,"22,150",2012
337,Da-reun na-ra-e-seo,Drama,6.4,2669,"22,139",2012
338,Pieta,"Crime, Drama",7.2,11124,"21,932",2012
339,Ao no ekusoshisuto: Gekijouban,"Animation, Fantasy",7.2,1405,"21,796",2012
340,The ABCs of Death,"Comedy, Horror",4.7,16560,"21,660",2012
341,Simon Killer,"Drama, Thriller",6.3,3663,"21,303",2012
342,Lay the Favorite,"Comedy, Drama, Romance",4.8,10256,"20,998",2012
343,Graceland,"Crime, Thriller",6.7,1188,"20,791",2012
344,Maniac,"Horror, Thriller",6.1,31644,"20,551",2012
345,Vous n'avez encore rien vu,"Comedy, Drama",6.4,1244,"18,455",2012
346,The History of Future Folk,"Comedy, Music, Sci-Fi",7.2,2052,"17,646",2012
347,The Girl from the Naked Eye,"Action, Crime, Mystery",4.9,1859,"17,401",2012
348,Mental,"Comedy, Drama",6.2,4576,"17,346",2012
349,Grandmaster,"Mystery, Thriller",7.1,1406,"17,077",2012
350,The First Time,"Comedy, Drama, Romance",6.9,61164,"17,061",2012
351,10 timer til Paradis,"Drama, Romance",7.1,3936,"16,135",2012
352,28 Hotel Rooms,"Drama, Romance",5.8,2700,"16,017",2012
353,California Solo,Drama,6.3,952,"15,368",2012
354,Trade of Innocents,"Drama, Thriller",5.4,849,"15,059",2012
355,Twice Born,"Drama, Romance, War",7.4,14179,"14,947",2012
356,I Declare War,"Action, Comedy, Drama",6,2533,"14,928",2012
357,30 Beats,"Comedy, Romance",4.2,849,"14,686",2012
358,The Olivia Experiment,Comedy,6.5,33,"14,488",2012
359,Jayne Mansfield's Car,Drama,6.3,2614,"14,376",2012
360,Kiss of the Damned,"Drama, Horror, Romance",5.6,4230,"14,325",2012
361,The Fitzgerald Family Christmas,Drama,6.3,1219,"13,800",2012
362,Dysfunctional Friends,"Comedy, Drama",5.2,757,"13,546",2012
363,War of the Worlds: Goliath,"Animation, Action, Adventure",5.5,962,"13,385",2012
364,Supercapitalist,Thriller,5.3,512,"13,220",2012
365,In the Fog,"Drama, History, War",6.8,2608,"11,654",2012
366,"Now, Forager",Drama,6.4,189,"10,895",2012
367,Shanghai Calling,"Comedy, Drama, Romance",6.3,1477,"10,443",2012
368,My Brother the Devil,"Crime, Drama, Romance",6.6,2846,"10,305",2012
369,Husbands in Goa,Comedy,3.6,196,"10,135",2012
370,Even Eye,Drama,6.7,16,"10,000",2012
371,The Do-Deca-Pentathlon,Comedy,5.9,1602,"10,000",2012
372,Silent Night,"Comedy, Horror, Mystery",5.2,6556,"9,672",2012
373,In the House of Flies,Thriller,4.6,129,"9,480",2012
